N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Glove Model1,500,1,1,0.9347719298245614,0.8884115250381288,0.9099018291773929,0.9241325856016049,0.910815385804272,0.9173393291684308
Glove Model2,500,2,1,0.9240701754385965,0.9217043340983344,0.9206352955860172,0.9330232982264168,0.9192655556258263,0.9233227011580533
Glove Model3,500,3,1,0.9303157894736842,0.9407899046399666,0.9324960087596402,0.9423699448319883,0.9353427444259415,0.9352689016054395
Glove Model4,500,1,2,0.9347368421052632,0.896113372722527,0.914064890927889,0.9254092007477317,0.9166810493782117,0.920878295192322
Glove Model5,500,2,2,0.9367368421052632,0.9272981254341179,0.9267246636475988,0.9301965075457074,0.9408909542189707,0.9291444600479145
Glove Model6,500,3,2,0.9291578947368421,0.9463120855033589,0.9327490113177722,0.9441936807550266,0.937870444911719,0.9352908992537786
Glove Model7,800,1,2,0.9351578947368421,0.9000220606780251,0.9162523913098923,0.9258195413304153,0.9192599522077847,0.9222180848049446
Glove Model8,800,2,2,0.9143508771929825,0.9387504284532212,0.9247001374165227,0.9301509141476314,0.9253046120702009,0.9265322635756937
Glove Model9,800,3,2,0.9262105263157895,0.9511025294478699,0.9307968251962333,0.9436921533761912,0.942081174825428,0.933714988894633
